document_id,url,file,titulo,rango,materia,no_norma,no_gaceta,fecha_publicacion,tipo_norma,match_number,term,category,subcategory,tier,matched_text,context
2225795ADAD762DF06257217006632B7,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=2225795ADAD762DF06257217006632B7&action=openDocument,data\legislation\html\2225795ADAD762DF06257217006632B7.html,Reglamento de Áreas Protegidas de Nicaragua,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,14-99,42 y 43,03/03/1999,Decreto,1,servicios ambientales,direct_es,ecosystem_services,1,SERVICIOS AMBIENTALES,SERVICIOS AMBIENTALES: Elementos ambientales y sus Asociaciones que inciden directamente en la protección y el mejoramiento del medio ambiente y la calidad de vida.
2225795ADAD762DF06257217006632B7,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=2225795ADAD762DF06257217006632B7&action=openDocument,data\legislation\html\2225795ADAD762DF06257217006632B7.html,Reglamento de Áreas Protegidas de Nicaragua,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,14-99,42 y 43,03/03/1999,Decreto,2,servicios ambientales,direct_es,ecosystem_services,1,servicios ambientales,"- Promover el desarrollo regional basado en la producción y uso sostenible de los recursos naturales, diversificación y aplicación de tecnologías de bajo impacto ambiental manteniendo ambientes naturales con altos valores de servicios ambientales y procesos ecológicos esenciales para la sostenibilidad, respetando el manejo propio de cada categoría de AP que la íntegra."
2225795ADAD762DF06257217006632B7,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=2225795ADAD762DF06257217006632B7&action=openDocument,data\legislation\html\2225795ADAD762DF06257217006632B7.html,Reglamento de Áreas Protegidas de Nicaragua,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,14-99,42 y 43,03/03/1999,Decreto,3,servicios ambientales,direct_es,ecosystem_services,1,servicios ambientales,- Valoración preliminar de los servicios ambientales que provee.
2225795ADAD762DF06257217006632B7,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=2225795ADAD762DF06257217006632B7&action=openDocument,data\legislation\html\2225795ADAD762DF06257217006632B7.html,Reglamento de Áreas Protegidas de Nicaragua,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,14-99,42 y 43,03/03/1999,Decreto,4,servicios ambientales,direct_es,ecosystem_services,1,servicios ambientales,"1) Generalidades - Ubicación geográfica, extensión del área y base legal - Objetivos del área y del Plan - Directrices y políticas para el manejo del área 2) Diagnóstico Diagnóstico ambiental y socioeconómico de la situación actual del área protegida y de su zona de amortiguamiento, que contemple lo siguiente: 2.1 ) Valoración de la biodiversidad 2.2) Valoración hidrológica 2.3) Fragilidad de los recursos 2.4) Valoración de los servicios ambientales 2.5) Impactos ambientales de las actividades del área 2.ó) Análisis del uso histórico de la tierra 2.7) Valoración histórico cultural 2.8) Identificación de áreas críticas 2.9) Evaluación de la factibilidad de la Categoría del área 3) Zonificación - Zonificación de los diferentes usos del área y su zona de amortiguamiento."
89068579BAF511E5062570A600647E7F,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=89068579BAF511E5062570A600647E7F&action=openDocument,data\legislation\html\89068579BAF511E5062570A600647E7F.html,Establece la Política Ambiental y Aprueba el Plan Ambiental de Nicaragua 2001-2005,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,25-2001,44,02/03/2001,Decreto,1,servicios ambientales,direct_es,ecosystem_services,1,servicios ambientales,"El patrimonio natural de la nación tiene un valor que deberá incorporarse al Sistema de Cuentas Nacionales a través del Sistema de Cuentas Satélite de Medio Ambiente, promoviendo así la valoración de bienes y servicios ambientales y la priorización de las decisiones de inversión y uso de los mismos."
89068579BAF511E5062570A600647E7F,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=89068579BAF511E5062570A600647E7F&action=openDocument,data\legislation\html\89068579BAF511E5062570A600647E7F.html,Establece la Política Ambiental y Aprueba el Plan Ambiental de Nicaragua 2001-2005,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,25-2001,44,02/03/2001,Decreto,2,servicios ambientales,direct_es,ecosystem_services,1,servicios ambientales,"El Estado garantizará la incorporación de la variable ambiental en el análisis de costo-beneficio para la priorización de las inversiones públicas y promoverá la inversión privada en infraestructura ambiental, la creación de mercados de servicios ambientales y otros instrumentos para el financiamiento de desarrollo sostenible."
89068579BAF511E5062570A600647E7F,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=89068579BAF511E5062570A600647E7F&action=openDocument,data\legislation\html\89068579BAF511E5062570A600647E7F.html,Establece la Política Ambiental y Aprueba el Plan Ambiental de Nicaragua 2001-2005,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,25-2001,44,02/03/2001,Decreto,3,servicios ambientales,direct_es,ecosystem_services,1,servicios ambientales,"El Estado propiciará la participación activa del sector privado y la ciudadanía en la protección y funcionamiento del Sistema Nacional de Áreas Protegidas, a través de inversiones en infraestructura, administración de áreas y generación de servicios ambientales."
89068579BAF511E5062570A600647E7F,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=89068579BAF511E5062570A600647E7F&action=openDocument,data\legislation\html\89068579BAF511E5062570A600647E7F.html,Establece la Política Ambiental y Aprueba el Plan Ambiental de Nicaragua 2001-2005,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,25-2001,44,02/03/2001,Decreto,4,servicios ambientales,direct_es,ecosystem_services,1,servicios ambientales,"- Fomentar el manejo y la restauración de ecosistemas de alta vulnerabilidad dirigidas a la conservación suelo, agua, servicios ambientales, dendroenergía, industria."
89068579BAF511E5062570A600647E7F,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=89068579BAF511E5062570A600647E7F&action=openDocument,data\legislation\html\89068579BAF511E5062570A600647E7F.html,Establece la Política Ambiental y Aprueba el Plan Ambiental de Nicaragua 2001-2005,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,25-2001,44,02/03/2001,Decreto,5,servicios ambientales,direct_es,ecosystem_services,1,Servicios ambientales,Servicios ambientales de las Áreas Protegidas.
89068579BAF511E5062570A600647E7F,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=89068579BAF511E5062570A600647E7F&action=openDocument,data\legislation\html\89068579BAF511E5062570A600647E7F.html,Establece la Política Ambiental y Aprueba el Plan Ambiental de Nicaragua 2001-2005,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,25-2001,44,02/03/2001,Decreto,6,servicios ambientales,direct_es,ecosystem_services,1,servicios ambientales,"- Identificar, valorar y ofertar los servicios ambientales de las Áreas Protegidas."
89068579BAF511E5062570A600647E7F,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=89068579BAF511E5062570A600647E7F&action=openDocument,data\legislation\html\89068579BAF511E5062570A600647E7F.html,Establece la Política Ambiental y Aprueba el Plan Ambiental de Nicaragua 2001-2005,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,25-2001,44,02/03/2001,Decreto,7,servicios ambientales,direct_es,ecosystem_services,1,servicios ambientales,- Desarrollar instrumentos que propicien la incorporación de los servicios ambientales de las Áreas Protegidas a la dinámica económica de las diferentes regiones y a la autosostenibilidad del Sistema.
89068579BAF511E5062570A600647E7F,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=89068579BAF511E5062570A600647E7F&action=openDocument,data\legislation\html\89068579BAF511E5062570A600647E7F.html,Establece la Política Ambiental y Aprueba el Plan Ambiental de Nicaragua 2001-2005,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,25-2001,44,02/03/2001,Decreto,8,servicios ambientales,direct_es,ecosystem_services,1,Servicios Ambientales,"- Fortalecer la gestión del MARENA en el tema de los Servicios Ambientales, trasladando su campo de acción hacia las demás unidades, con miras a materializar el pago por servicios ambientales y por deterioro ambiental en las actividades sujetas a regulación."
89068579BAF511E5062570A600647E7F,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=89068579BAF511E5062570A600647E7F&action=openDocument,data\legislation\html\89068579BAF511E5062570A600647E7F.html,Establece la Política Ambiental y Aprueba el Plan Ambiental de Nicaragua 2001-2005,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,25-2001,44,02/03/2001,Decreto,9,servicios ambientales,direct_es,ecosystem_services,1,servicios ambientales,"- Fortalecer la gestión del MARENA en el tema de los Servicios Ambientales, trasladando su campo de acción hacia las demás unidades, con miras a materializar el pago por servicios ambientales y por deterioro ambiental en las actividades sujetas a regulación."
89068579BAF511E5062570A600647E7F,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=89068579BAF511E5062570A600647E7F&action=openDocument,data\legislation\html\89068579BAF511E5062570A600647E7F.html,Establece la Política Ambiental y Aprueba el Plan Ambiental de Nicaragua 2001-2005,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,25-2001,44,02/03/2001,Decreto,10,servicios ambientales,direct_es,ecosystem_services,1,Servicios Ambientales,"- Crear la Oficina Nacional de Servicios Ambientales, en la que se desarrolle un programa nacional de pago por estos servicios."
89068579BAF511E5062570A600647E7F,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=89068579BAF511E5062570A600647E7F&action=openDocument,data\legislation\html\89068579BAF511E5062570A600647E7F.html,Establece la Política Ambiental y Aprueba el Plan Ambiental de Nicaragua 2001-2005,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,25-2001,44,02/03/2001,Decreto,11,bienes y servicios ambientales,direct_es,ecosystem_services,1,bienes y servicios ambientales,"El patrimonio natural de la nación tiene un valor que deberá incorporarse al Sistema de Cuentas Nacionales a través del Sistema de Cuentas Satélite de Medio Ambiente, promoviendo así la valoración de bienes y servicios ambientales y la priorización de las decisiones de inversión y uso de los mismos."
89068579BAF511E5062570A600647E7F,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=89068579BAF511E5062570A600647E7F&action=openDocument,data\legislation\html\89068579BAF511E5062570A600647E7F.html,Establece la Política Ambiental y Aprueba el Plan Ambiental de Nicaragua 2001-2005,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,25-2001,44,02/03/2001,Decreto,12,funciones ambientales,direct_es,ecosystem_functions,1,funciones ambientales,"- La estrategia de implementación de las acciones territoriales se basa en el proceso de desconcentración y descentralización paulatina de importantes funciones ambientales, con un fortalecimiento consecuente de las delegaciones del gobierno y de los gobiernos locales."
89068579BAF511E5062570A600647E7F,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=89068579BAF511E5062570A600647E7F&action=openDocument,data\legislation\html\89068579BAF511E5062570A600647E7F.html,Establece la Política Ambiental y Aprueba el Plan Ambiental de Nicaragua 2001-2005,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,25-2001,44,02/03/2001,Decreto,13,pago por servicios ambientales,economic_instruments,payments,2,pago por servicios ambientales,"- Fortalecer la gestión del MARENA en el tema de los Servicios Ambientales, trasladando su campo de acción hacia las demás unidades, con miras a materializar el pago por servicios ambientales y por deterioro ambiental en las actividades sujetas a regulación."
84EE0CBE02D1B904062570A100580DCC,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=84EE0CBE02D1B904062570A100580DCC&action=openDocument,data\legislation\html\84EE0CBE02D1B904062570A100580DCC.html,Que Establece las Políticas de Desarrollo Forestal de Nicaragua,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,50-2001,88,11/05/2001,Decreto,1,servicios ambientales,direct_es,ecosystem_services,1,servicios ambientales,- Pago por servicios ambientales y modalidades afines.
